iter	RMSE
0	34514.81222
1	33276.95601
2	32022.10205
3	30855.20347
4	29756.69971
5	28802.37653
6	27841.28655
7	26923.34602
8	26020.14455
9	25176.49115
10	24256.38139
11	23351.37967
12	22528.27973
13	21708.73337
14	20919.6253
15	20202.55513
16	19530.86237
17	18864.33976
18	18232.31107
19	17590.518
20	17025.74737
21	16510.01142
22	15996.08597
23	15521.31259
24	15017.84681
25	14574.01653
26	14129.13599
27	13796.3324
28	13413.60315
29	13061.26436
30	12728.86193
31	12392.18949
32	12128.4666
33	11857.82235
34	11621.79581
35	11355.11226
36	11076.55605
37	10828.08889
38	10614.70786
39	10384.41877
40	10197.97932
41	9987.92605
42	9797.816942
43	9605.005062
44	9454.795477
45	9297.481494
46	9141.627096
47	8998.939044
48	8881.284301
49	8775.732397
50	8647.503041
51	8539.723195
52	8415.419796
53	8314.735582
54	8237.412691
55	8150.509724
56	8070.68029
57	7982.42779
58	7903.305065
59	7837.776103
60	7755.894371
61	7680.550383
62	7608.274375
63	7556.81464
64	7490.431207
65	7424.401132
66	7371.562876
67	7313.361977
68	7258.643413
69	7217.33849
70	7167.556202
71	7117.598337
72	7077.891965
73	7044.989849
74	7004.507932
75	6961.105317
76	6930.026321
77	6889.829355
78	6851.919041
79	6820.117361
80	6797.508308
81	6776.058513
82	6744.62731
83	6736.778781
84	6711.188605
85	6683.667705
86	6652.263066
87	6626.626999
88	6601.355918
89	6583.864415
90	6572.654845
91	6546.686756
92	6516.831927
93	6489.842684
94	6472.448495
95	6457.063861
96	6433.379255
97	6410.635858
98	6397.757565
99	6386.404262
100	6362.819634
101	6352.075609
102	6333.045393
103	6313.842444
104	6292.204141
105	6277.191968
106	6256.399548
107	6241.474677
108	6226.900777
109	6206.3392
110	6190.282888
111	6170.044594
112	6158.860897
113	6148.602634
114	6133.903431
115	6115.936535
116	6104.453228
117	6094.195657
118	6071.868481
119	6050.057503
120	6040.845103
121	6025.366095
122	6017.099894
123	6005.983563
124	5994.113234
125	5979.651911
126	5970.861885
127	5949.709131
128	5935.154696
129	5928.213818
130	5917.294516
131	5908.253666
132	5894.116235
133	5883.831856
134	5863.284862
135	5846.325038
136	5830.270072
137	5819.989506
138	5813.015966
139	5801.05392
140	5789.25394
141	5780.089573
142	5767.892022
143	5755.173009
144	5742.721113
145	5734.822085
146	5720.555948
147	5711.621773
148	5701.504304
149	5693.760182
150	5685.702654
151	5679.81677
152	5673.098804
153	5665.021958
154	5656.09801
155	5650.959792
156	5638.526025
157	5630.651202
158	5623.33058
159	5614.148021
160	5608.432598
161	5599.796375
162	5591.384954
163	5585.647435
164	5572.736174
165	5568.078362
166	5558.713765
167	5547.340058
168	5538.983124
169	5527.271539
170	5517.05383
171	5510.467156
172	5502.723028
173	5497.167366
174	5488.887889
175	5477.688431
176	5468.097969
177	5463.931045
178	5458.417634
179	5450.6811
180	5441.585284
181	5433.930235
182	5430.045865
183	5422.347159
184	5413.142278
185	5405.075004
186	5395.063069
187	5390.962042
188	5386.477536
189	5381.690415
190	5376.136914
191	5369.843915
192	5366.068955
193	5360.452811
194	5355.230102
195	5349.621608
196	5343.716168
197	5340.140168
198	5335.32529
199	5330.364618
200	5323.123282
201	5319.608146
202	5311.855392
203	5307.19686
204	5303.043782
205	5297.364285
206	5289.238453
207	5284.947383
208	5278.69455
209	5271.851983
210	5266.517572
211	5264.225773
212	5261.187282
213	5255.543101
214	5251.308149
215	5243.210509
216	5237.402231
217	5232.153304
218	5227.008491
219	5216.74037
220	5209.982407
221	5204.515291
222	5199.895676
223	5194.751649
224	5189.937126
225	5184.994195
226	5180.944978
227	5177.970486
228	5172.603378
229	5168.552449
230	5163.290176
231	5158.319225
232	5153.411614
233	5150.655761
234	5141.202781
235	5134.499136
236	5125.546849
237	5120.312196
238	5116.625586
239	5114.274226
240	5109.971911
241	5100.664328
242	5091.747089
243	5088.213584
244	5082.509358
245	5078.522021
246	5076.28184
247	5072.445127
248	5068.994214
249	5060.453932
250	5052.267331
251	5049.552484
252	5045.783426
253	5037.937354
254	5035.888433
255	5028.608881
256	5026.036067
257	5024.106331
258	5016.663605
259	5009.819563
260	5007.946049
261	5006.131468
262	5004.371004
263	5002.662973
264	4994.760931
265	4991.4645
266	4987.444259
267	4980.427723
268	4974.781516
269	4973.180963
270	4970.738519
271	4967.755742
272	4966.214371
273	4963.888629
274	4961.03465
275	4958.810304
276	4952.815826
277	4949.187919
278	4947.062516
279	4943.746725
280	4941.762426
281	4939.842235
282	4937.981178
283	4934.875329
284	4933.871603
285	4932.541451
286	4929.929249
287	4927.014769
288	4924.577029
289	4921.83415
290	4915.075932
291	4914.174506
292	4912.911187
293	4911.811508
294	4905.181475
295	4898.834402
296	4897.547679
297	4895.019728
298	4893.858569
299	4887.611205
300	4886.223509
301	4880.575568
302	4879.611457
303	4878.711293
304	4877.04864
305	4868.601497
306	4866.019839
307	4860.220134
308	4855.019774
309	4850.033062
310	4843.464895
311	4842.338078
312	4834.54423
313	4824.611493
314	4823.576496
315	4822.415634
316	4812.398607
317	4811.569055
318	4810.579113
319	4810.02533
320	4809.319104
321	4804.528233
322	4799.528305
323	4797.778214
324	4795.588927
325	4794.519015
326	4793.40818
327	4792.641787
328	4783.236372
329	4782.358037
330	4781.62519
331	4780.939409
332	4780.115646
333	4777.679828
334	4768.22234
335	4760.777009
336	4758.444193
337	4756.443665
338	4747.734479
339	4741.829812
340	4738.328968
341	4737.046337
342	4735.802319
343	4734.425667
344	4731.602639
345	4730.991952
346	4730.27798
347	4728.14442
348	4724.797485
349	4722.748828
350	4720.784923
351	4716.985853
