iter	RMSE
0	34514.81222
1	33276.95601
2	32022.10205
3	30855.20347
4	29750.82457
5	28796.58505
6	27835.7847
7	26918.42827
8	26015.53023
9	25172.61829
10	24252.62941
11	23347.85759
12	22524.90252
13	21705.51785
14	20916.77018
15	20202.44124
16	19530.3878
17	18863.88468
18	18232.05937
19	17590.27005
20	17025.43265
21	16532.79387
22	16068.4129
23	15590.39239
24	15083.84068
25	14637.90489
26	14189.73831
27	13854.85492
28	13469.35217
29	13113.93643
30	12778.64329
31	12412.33486
32	12134.02171
33	11856.6227
34	11617.4773
35	11339.29334
36	11061.24235
37	10813.12253
38	10606.19519
39	10379.64747
40	10201.56387
41	10013.48583
42	9826.522557
43	9643.552881
44	9476.032171
45	9297.867518
46	9142.42321
47	8998.712026
48	8873.01082
49	8766.702041
50	8640.126433
51	8529.958007
52	8406.18046
53	8305.978763
54	8211.037788
55	8127.385727
56	8031.932131
57	7945.155428
58	7867.360351
59	7792.457181
60	7714.647118
61	7650.345365
62	7585.420542
63	7537.401641
64	7471.550203
65	7411.212009
66	7350.317247
67	7296.826515
68	7242.558013
69	7206.441625
70	7157.833817
71	7116.031608
72	7076.417095
73	7044.887356
74	7005.050626
75	6961.316368
76	6928.798187
77	6888.55253
78	6856.087111
79	6823.682522
80	6800.251759
81	6778.326237
82	6746.953341
83	6739.309579
84	6713.663555
85	6681.501982
86	6649.68393
87	6625.628186
88	6604.340177
89	6586.231171
90	6577.721657
91	6549.952114
92	6523.060948
93	6489.749748
94	6454.70011
95	6428.774734
96	6411.993011
97	6394.492994
98	6382.672429
99	6366.578592
100	6342.352897
101	6319.753084
102	6306.884133
103	6296.355206
104	6275.465045
105	6262.922505
106	6242.890689
107	6223.260974
108	6206.667698
109	6188.813205
110	6178.245371
111	6153.919578
112	6138.755113
113	6127.149266
114	6106.420586
115	6092.529003
116	6074.701469
117	6052.998229
118	6031.359458
119	6021.309669
120	6007.498435
121	5986.131169
122	5975.06802
123	5963.576381
124	5950.102601
125	5940.443155
126	5930.126378
127	5918.075183
128	5902.584804
129	5893.157674
130	5876.83359
131	5868.879259
132	5860.366669
133	5848.013009
134	5842.698939
135	5828.664272
136	5820.766165
137	5804.03627
138	5792.699826
139	5781.662177
140	5766.639173
141	5754.549444
142	5748.360826
143	5737.311786
144	5725.367751
145	5714.302874
146	5705.631254
147	5697.191066
148	5684.989052
149	5675.678755
150	5664.593394
151	5655.999519
152	5651.595514
153	5640.098663
154	5628.220386
155	5617.627086
156	5610.972522
157	5603.1889
158	5595.9988
159	5585.93196
160	5577.155446
161	5573.818496
162	5555.589585
163	5549.820884
164	5544.064277
165	5537.446346
166	5526.384182
167	5522.103055
168	5515.828956
169	5512.972958
170	5501.308011
171	5495.839107
172	5486.071723
173	5483.045963
174	5471.284727
175	5461.489053
176	5454.172202
177	5447.424812
178	5442.317314
179	5438.333181
180	5429.046593
181	5424.610409
182	5415.885642
183	5407.100701
184	5398.762294
185	5395.480723
186	5390.35208
187	5385.628948
188	5374.436825
189	5367.647654
190	5357.873997
191	5347.392433
192	5339.94682
193	5335.434853
194	5325.857096
195	5322.419636
196	5313.655058
197	5308.904938
198	5304.727209
199	5298.634395
200	5292.99757
201	5289.912719
202	5285.762163
203	5282.975231
204	5276.310846
205	5267.695924
206	5259.567735
207	5255.398715
208	5251.272405
209	5246.084767
210	5238.928549
211	5235.222094
212	5233.023471
213	5228.107283
214	5223.982206
215	5216.409533
216	5208.975765
217	5203.852514
218	5197.062812
219	5193.572227
220	5189.907672
221	5186.059643
222	5181.482449
223	5176.29146
224	5172.830447
225	5166.292118
226	5163.198738
227	5157.199139
228	5152.473265
229	5147.716041
230	5143.471784
231	5140.29685
232	5137.877191
233	5135.359361
234	5132.800421
235	5130.811844
236	5128.587893
237	5125.813477
238	5122.014765
239	5120.149432
240	5116.856435
241	5112.275953
242	5108.242508
243	5104.664052
244	5101.594051
245	5099.920246
246	5097.913524
247	5095.635662
248	5093.972589
249	5090.834399
250	5083.385777
251	5080.863519
252	5076.690525
253	5072.15077
254	5069.767335
255	5068.43486
256	5066.624429
257	5064.34957
258	5062.427578
259	5058.652473
260	5055.033496
261	5051.825662
262	5050.137908
263	5047.539431
264	5044.50269
265	5042.879688
266	5039.964944
267	5036.719684
268	5033.984336
269	5031.356944
270	5022.448318
271	5018.402742
272	5015.424633
273	5012.972957
274	5010.173073
275	5001.980094
276	4996.347239
277	4995.095938
278	4990.43464
279	4986.661877
280	4979.324648
281	4978.374687
282	4971.386885
283	4967.819933
284	4966.438903
285	4958.433061
286	4955.081396
287	4951.875129
288	4948.807346
289	4940.420294
290	4938.267325
291	4935.2853
292	4933.117469
293	4927.773981
294	4922.211376
295	4919.837123
296	4918.85162
297	4911.397134
298	4910.204742
299	4909.262836
300	4907.261903
301	4905.339454
302	4904.420596
303	4897.730796
304	4891.493658
305	4890.601075
306	4888.541367
307	4878.955039
308	4872.726348
309	4871.879722
310	4867.263614
311	4859.98938
312	4858.953791
313	4857.170494
314	4848.114663
315	4838.293044
316	4833.318874
317	4828.698606
318	4827.902197
319	4818.57067
320	4814.659729
321	4812.667821
322	4809.604265
323	4800.685025
324	4791.912459
325	4788.244848
326	4786.511016
327	4785.551552
328	4784.724077
329	4783.99761
330	4775.195118
331	4774.289985
332	4772.021202
333	4771.257844
334	4770.59352
335	4762.168254
336	4759.152043
337	4758.318129
338	4756.697345
339	4755.135594
340	4747.640492
341	4746.104693
342	4738.951649
343	4738.264711
344	4737.215241
345	4730.103219
346	4722.414703
347	4721.754465
348	4718.91647
349	4711.668258
350	4706.398546
