iter	Passed	Remaining
0	389	389534
1	393	196349
2	395	131375
3	397	98876
4	399	79431
5	400	66416
6	402	57128
7	405	50235
8	407	44921
9	409	40511
10	410	36938
11	412	33929
12	413	31397
13	415	29235
14	416	27359
15	418	25712
16	420	24323
17	422	23030
18	423	21868
19	424	20820
20	426	19871
21	427	19007
22	428	18220
23	430	17496
24	431	16842
25	433	16228
26	435	15708
27	437	15184
28	438	14698
29	440	14241
30	441	13811
31	443	13407
32	444	13027
33	446	12673
34	447	12336
35	450	12058
36	451	11760
37	453	11477
38	454	11209
39	456	10963
40	458	10718
41	459	10489
42	461	10266
43	462	10055
44	465	9874
45	466	9679
46	468	9493
47	469	9317
48	471	9147
49	473	8993
50	475	8841
51	476	8693
52	480	8588
53	482	8446
54	484	8317
55	486	8195
56	488	8077
57	489	7957
58	491	7837
59	494	7748
60	496	7637
61	497	7529
62	499	7425
63	500	7326
64	502	7227
65	503	7131
66	505	7039
67	506	6948
68	510	6893
69	512	6807
70	513	6723
71	515	6646
72	517	6567
73	518	6489
74	519	6412
75	521	6337
76	524	6283
77	525	6215
78	527	6148
79	528	6081
80	530	6020
81	531	5952
82	533	5888
83	533	5821
84	535	5761
85	536	5702
86	540	5669
87	541	5615
88	543	5561
89	544	5509
90	546	5456
91	547	5405
92	549	5356
93	550	5308
94	552	5260
95	555	5233
96	557	5187
97	558	5144
98	560	5102
99	561	5057
100	563	5013
101	564	4971
102	565	4928
103	567	4886
104	570	4867
105	572	4827
106	573	4790
107	575	4754
108	577	4718
109	578	4682
110	580	4645
111	581	4609
112	584	4587
113	585	4553
114	587	4519
115	588	4486
116	590	4454
117	591	4422
118	592	4389
119	594	4357
120	595	4326
121	596	4296
122	601	4285
123	602	4259
124	604	4232
125	606	4206
126	607	4177
127	609	4149
128	610	4122
129	611	4095
130	616	4086
131	617	4061
132	618	4034
133	620	4012
134	622	3987
135	623	3961
136	624	3936
137	626	3911
138	629	3902
139	631	3882
140	633	3859
141	634	3836
142	636	3814
143	637	3791
144	639	3768
145	640	3747
146	641	3724
147	645	3715
148	646	3694
149	648	3673
150	649	3651
151	650	3630
152	652	3609
153	653	3589
154	654	3570
155	656	3550
156	657	3531
157	661	3524
158	662	3505
159	664	3487
160	665	3468
161	666	3449
162	668	3431
163	669	3412
164	670	3394
165	672	3376
166	675	3369
167	676	3352
168	678	3335
169	679	3318
170	681	3302
171	682	3285
172	684	3270
173	685	3253
174	686	3237
175	689	3226
176	690	3210
177	691	3194
178	693	3178
179	694	3163
180	695	3148
181	697	3133
182	698	3118
183	699	3103
184	700	3088
185	702	3074
186	705	3066
187	706	3052
188	708	3038
189	709	3024
190	710	3010
191	712	2997
192	713	2984
193	714	2970
194	716	2957
195	719	2952
196	721	2939
197	722	2927
198	724	2914
199	725	2903
200	727	2891
201	728	2878
202	730	2866
203	731	2853
204	733	2843
205	735	2834
206	736	2822
207	738	2810
208	739	2798
209	740	2786
210	742	2775
211	743	2763
212	744	2751
213	746	2740
214	747	2730
215	749	2722
216	751	2711
217	752	2700
218	754	2688
219	755	2678
220	756	2667
221	758	2656
222	759	2646
223	760	2635
224	762	2625
225	764	2618
226	766	2608
227	767	2598
228	768	2587
229	769	2577
230	771	2566
231	772	2556
232	773	2546
233	775	2537
234	776	2527
235	778	2521
236	780	2511
237	781	2501
238	782	2492
239	784	2483
240	785	2473
241	786	2464
242	788	2455
